transaction_id,user_id,user_spending_profile,user_bank_preference,platform,category,transaction_amount_inr,payment_method,bank,card_network,cashback_percentage,max_cashback_inr,min_transaction_inr,offer_applicable,actual_cashback_inr,effective_savings_pct,offer_valid_days,offer_start_date,offer_end_date,offer_description,offer_rank_score
TXN100000,42276B26,Low Spender,HDFC,BigBasket,Grocery,902.67,Credit Card,PhonePe,Visa,12,50,199,True,50.0,5.5391,7,2024-04-21,2024-04-28,Exclusive PhonePe offer: 12% instant discount on BigBasket via Credit Card. Max savings Rs.50. Min purchase Rs.199.,6.0391
TXN100001,87E81108,Frequent Buyer,HDFC,Blinkit,Grocery,2233.25,Wallet,Yes Bank,N/A,7,500,1499,True,156.33,7.0001,7,2024-03-22,2024-03-29,Flat 7% discount on Blinkit order via Yes Bank Wallet. Max benefit Rs.500. Min order Rs.1499.,7.5001
TXN100002,116FA57E,High Spender,ICICI,Zomato,Food Delivery,287.98,Net Banking,ICICI,N/A,10,250,1499,False,0.0,0.0,7,2024-08-23,2024-08-30,Get flat 10% off with ICICI Net Banking on Zomato. Maximum discount Rs.250. Valid on orders above Rs.1499.,0.0
TXN100003,00FCA41D,Occasional Buyer,HDFC,Blinkit,Grocery,2539.39,Wallet,IDFC,N/A,7,75,199,True,75.0,2.9535,14,2024-05-28,2024-06-11,Get flat 7% off with IDFC Wallet on Blinkit. Maximum discount Rs.75. Valid on orders above Rs.199.,3.4535
TXN100004,F460FE62,Moderate Spender,HDFC,Myntra,Beauty,2431.03,UPI,SBI,N/A,10,250,999,True,243.1,9.9999,30,2024-12-25,2025-01-24,Get flat 10% off with SBI UPI on Myntra. Maximum discount Rs.250. Valid on orders above Rs.999.,10.4999
TXN100005,EEFDCE7B,Moderate Spender,Kotak,Zomato,Food Delivery,774.05,UPI,PhonePe,N/A,7,250,199,True,54.18,6.9995,14,2024-01-17,2024-01-31,PhonePe UPI users get 7% back on Zomato purchases in Food Delivery. Offer capped at Rs.250 min spend Rs.199.,7.4995
TXN100006,71DFC8EF,High Spender,HDFC,Zomato,Food Delivery,437.05,Net Banking,Yes Bank,N/A,15,100,1499,False,0.0,0.0,14,2024-05-06,2024-05-20,Save up to Rs.100 with 15% cashback on Food Delivery using Yes Bank Net Banking. Minimum cart value Rs.1499.,0.0
TXN100007,B4A280BF,Frequent Buyer,Axis,IRCTC,Travel,19375.83,Debit Card,BOB,Amex,3,50,299,True,50.0,0.2581,14,2024-11-17,2024-12-01,Use your BOB Amex card and earn 3% cashback capped at Rs.50. Applicable on Travel orders over Rs.299.,0.7581
TXN100008,D45A936E,Occasional Buyer,Kotak,Flipkart,Sports,4125.38,Net Banking,BOB,N/A,8,750,199,True,330.03,8.0,7,2024-12-15,2024-12-22,Save up to Rs.750 with 8% cashback on Sports using BOB Net Banking. Minimum cart value Rs.199.,8.5
TXN100009,CA01041C,High Spender,HDFC,BigBasket,Grocery,727.03,Credit Card,GPay,RuPay,5,750,299,True,36.35,4.9998,30,2024-11-23,2024-12-23,Exclusive GPay offer: 5% instant discount on BigBasket via Credit Card. Max savings Rs.750. Min purchase Rs.299.,5.4998
